"id";"lavNumber";"name";"type";"status";"latitude";"longitude";"osmConfidence";"officialDistanceM";"officialName";"officialFeatureId";"officialType";"officialCandidateCount";"nameScore";"distanceGapM";"reason"
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Teich";"review";"52.6277652";"11.0816699";"0.932";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"See";"review";"52.622978";"11.1655101";"0.9";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Fließgewässer";"review";"52.7859661";"11.1686674";"0.905";"0.7";"";"Watercourse_DESTGEOT00003u5d_lin";"Watercourse";"14";"0";"6.4";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"See";"review";"52.5633612";"10.9708505";"0.906";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Teich";"review";"52.58744";"10.963068";"0.921";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Fließgewässer";"review";"52.6021446";"10.9490976";"0.878";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Teich";"review";"52.5802866";"11.1015091";"0.909";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"See";"review";"52.7786135";"10.8198134";"0.841";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"See";"review";"52.5785765";"11.0840948";"0.836";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Fließgewässer";"review";"52.6991031";"11.2520614";"0.916";"22.1";"";"Watercourse_DESTGEOT00003rmR_lin";"Watercourse";"5";"0";"23.9";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Teich";"review";"52.6277652";"11.0816699";"0.932";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"See";"review";"52.7421551";"11.2416101";"0.91";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-380-03-1-tonstich-in-den-beekwiesen";"1-380-03";"1. Tonstich in den Beekwiesen";"See";"review";"52.8518698";"11.156102";"0.926";"";"";"";"";"0";"";"";"OSM-Kandidat vorhanden, aber im amtlichen Prüfbereich kein passendes HY-P-Objekt gefunden."
"1-380-05-teich-in-langenapel";"1-380-05";"Teich in Langenapel";"Teich";"review";"52.8161811";"10.9622902";"0.914";"5";"";"StandingWater_DESTGEOT00003ibC";"StandingWater";"3";"0";"16.8";"Amtliches Wasserobjekt vorhanden, Abstand/Name aber nicht eindeutig genug."
